count,url_from,url_to
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/journal-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/answer-library-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/interlibrary-loan-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/isbn-issn-request-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/reserved-books-service-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/web-opac-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/reserv-book-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/book-drop-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/self-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/common-reading-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/academic-books-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/information-literacy-instruction-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/service-internet-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/audio-visual-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/cable-tv-en
,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/library-rules-en/2012-05-25-09-57-31-en,http://lib.ku.ac.th/web/index.php/en/2013-05-02-04-49-11/service-formal-en/self-group-study-room-en
